FISCAL YEAR,STATE,NET ACCURACY RATE,SAMPLING VARIABILITY (SV) PERCENT,COMMENTS
2013,IOWA,98.00%,1.15,
2013,KANSAS,99.60%,UL* 99.9 - LL** 98.7,SV manually computed
2013,KENTUCKY,97.60%,1.37,
2013,LOUISIANA,98.10%,1.17,
2013,MAINE,97.70%,1.27,
2013,MARYLAND,99.40%,UL* 99.8 - LL** 98.1,SV manually computed
2013,MASSACHUSETTS,97.50%,1.28,
2013,MICHIGAN,98.50%,1.06,
2013,MINNESOTA,98.20%,1.11,
2013,MISSISSIPPI,96.70%,1.65,
2013,MISSOURI,98.90%,0.91,
2013,MONTANA,98.70%,0.92,
2013,NEBRASKA,98.20%,1.1,
2013,NEVADA,98.40%,1.02,
2013,NEW HAMPSHIRE,98.70%,0.9,
2013,NEW JERSEY,97.80%,1.2,
2013,NEW MEXICO,98.80%,0.87,
2013,NEW YORK,97.60%,1.27,
2013,NORTH CAROLINA,98.30%,1.13,
2013,NORTH DAKOTA,97.60%,1.13,
2013,OHIO,98.10%,1.18,
2013,OKLAHOMA,97.50%,1.35,
2013,OREGON,98.90%,0.88,
2013,PENNSYLVANIA,97.60%,1.31,
2013,PUERTO RICO,97.30%,1.32,
2013,RHODE ISLAND,97.40%,1.34,
2013,SOUTH CAROLINA,98.00%,1.23,
2013,SOUTH DAKOTA,98.50%,0.95,
2013,TENNESSEE,98.10%,1.23,
2013,TEXAS,98.70%,0.98,
2013,UTAH,98.40%,1.04,
2013,VERMONT,99.00%,0.78,
2013,VIRGINIA,97.90%,1.21,
2013,WASHINGTON,98.10%,1.14,
2013,WEST VIRGINIA,97.00%,1.5,
2013,WISCONSIN,98.20%,1.12,
2013,WYOMING,97.90%,1.04,
2013,NATIONAL,98.00%,0.24,
2014,ALABAMA,98.80%,0.97,
2014,ALASKA,97.20%,1.26,
2014,ARIZONA,96.80%,1.57,
2014,ARKANSAS,97.20%,1.45,
2014,CALIFORNIA,97.70%,1.3,
2014,COLORADO,97.60%,1.33,
2014,CONNECTICUT,97.50%,1.37,
2014,DELAWARE,98.50%,1,
2014,DIST OF COLUMBIA,97.40%,1.28,
2014,FLORIDA,97.50%,1.37,
2014,GEORGIA,96.20%,1.73,
2014,HAWAII,98.50%,0.99,
2014,IDAHO,97.20%,1.37,
2014,ILLINOIS,98.20%,1.13,
2014,INDIANA,98.40%,1.08,
2014,IOWA,98.40%,1.07,
2014,KANSAS,98.70%,0.94,
2014,KENTUCKY,98.00%,1.23,
2014,LOUISIANA,97.80%,1.25,
2014,MAINE,96.80%,1.46,
2014,MARYLAND,97.40%,1.36,
2014,MASSACHUSETTS,98.10%,1.14,
2014,MICHIGAN,99.10%,0.82,
2014,MINNESOTA,98.30%,1.11,
2014,MISSISSIPPI,97.60%,1.45,
2014,MISSOURI,97.50%,1.34,
2014,MONTANA,97.50%,1.22,
2014,NEBRASKA,98.90%,0.83,
2014,NEVADA,97.40%,1.32,
2014,NEW HAMPSHIRE,98.20%,1.07,
2014,NEW JERSEY,96.90%,1.43,
2014,NEW MEXICO,98.30%,1.06,
2014,NEW YORK,98.00%,1.19,
2014,NORTH CAROLINA,98.40%,1.12,
2014,NORTH DAKOTA,97.50%,1.21,
2014,OHIO,98.20%,1.13,
2014,OKLAHOMA,98.50%,1.08,
2014,OREGON,98.60%,0.98,
2014,PENNSYLVANIA,97.70%,1.33,
2014,PUERTO RICO,96.70%,1.4,
2014,RHODE ISLAND,97.20%,1.39,
2014,SOUTH CAROLINA,97.90%,1.25,
2014,SOUTH DAKOTA,98.70%,0.88,
2014,TENNESSEE,95.70%,1.82,
2014,TEXAS,97.90%,1.24,
2014,UTAH,97.60%,1.27,
2014,VERMONT,98.70%,0.88,
2014,VIRGINIA,98.50%,1.03,
2014,WASHINGTON,97.70%,1.26,
2014,WEST VIRGINIA,97.30%,1.42,
2014,WISCONSIN,97.70%,1.23,
2014,WYOMING,97.50%,1.18,
2014,NATIONAL,97.80%,0.26,
2015,ALABAMA,99.00%,0.91,
2015,ALASKA,97.80%,1.12,
2015,ARIZONA,98.20%,1.18,
2015,ARKANSAS,98.80%,0.94,
2015,CALIFORNIA,96.40%,1.62,
2015,COLORADO,98.60%,1.02,
2015,CONNECTICUT,96.00%,1.75,
2015,DELAWARE,98.00%,1.12,
2015,DIST OF COLUMBIA,97.10%,1.39,
2015,FLORIDA,98.00%,1.25,
2015,GEORGIA,97.10%,1.5,
2015,HAWAII,98.00%,1.14,
2015,IDAHO,97.20%,1.38,
2015,ILLINOIS,97.60%,1.32,
2015,INDIANA,99.10%,0.84,
2015,IOWA,98.20%,1.1,
2015,KANSAS,98.10%,1.13,
